Expression	Value	Location	Type	
g_dst	<array>	0x20000064	uint32_t[8]	
[0]	0b00010001000100010001000100010001	0x20000064	uint32_t	
[1]	0b00100010001000100010001000100010	0x20000068	uint32_t	
[2]	0b00110011001100110011001100110011	0x2000006C	uint32_t	
[3]	0b01000100010001000100010001000100	0x20000070	uint32_t	
[4]	0b01010101010101010101010101010101	0x20000074	uint32_t	
[5]	0b01100110011001100110011001100110	0x20000078	uint32_t	
[6]	0b01110111011101110111011101110111	0x2000007C	uint32_t	
[7]	0b10001000100010001000100010001000	0x20000080	uint32_t	
g_src	<array>	0x20000000	uint32_t[8]	
[0]	0b00010001000100010001000100010001	0x20000000	uint32_t	
[1]	0b00100010001000100010001000100010	0x20000004	uint32_t	
[2]	0b00110011001100110011001100110011	0x20000008	uint32_t	
[3]	0b01000100010001000100010001000100	0x2000000C	uint32_t	
[4]	0b01010101010101010101010101010101	0x20000010	uint32_t	
[5]	0b01100110011001100110011001100110	0x20000014	uint32_t	
[6]	0b01110111011101110111011101110111	0x20000018	uint32_t	
[7]	0b10001000100010001000100010001000	0x2000001C	uint32_t	
