Expression	Value	Location	Type	
g_dst	<array>	0x20000064	uint32_t[8]	
[0]	0x11111111	0x20000064	uint32_t	
[1]	0x22222222	0x20000068	uint32_t	
[2]	0x33333333	0x2000006C	uint32_t	
[3]	0x44444444	0x20000070	uint32_t	
[4]	0x55555555	0x20000074	uint32_t	
[5]	0x66666666	0x20000078	uint32_t	
[6]	0x77777777	0x2000007C	uint32_t	
[7]	0x88888888	0x20000080	uint32_t	
g_src	<array>	0x20000000	uint32_t[8]	
[0]	0x11111111	0x20000000	uint32_t	
[1]	0x22222222	0x20000004	uint32_t	
[2]	0x33333333	0x20000008	uint32_t	
[3]	0x44444444	0x2000000C	uint32_t	
[4]	0x55555555	0x20000010	uint32_t	
[5]	0x66666666	0x20000014	uint32_t	
[6]	0x77777777	0x20000018	uint32_t	
[7]	0x88888888	0x2000001C	uint32_t	
